hospital_name,hospital_url,province
北京核工业医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuwNgNKolRsPReozGolC54J.htm,beijing
西城区广外医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuhlZEzBvawOccyq6vJdZnb.htm,beijing
北京市西城区展览路社区卫生服务中心,https://www.haodf.com/hospital/DE4r0Fy0C9LuwNZRia0XfkiUuDINgIYJg.htm,beijing
北京美和眼科诊所,https://www.haodf.com/hospital/DE4r0Fy0C9LuwXj1qaNW6w51SHSYhq37w.htm,beijing
广外社区卫生服务中心,https://www.haodf.com/hospital/DE4r0Fy0C9LuwliImha1lCBf3o2p0zvkj.htm,beijing
什刹海社区卫生服务中心,https://www.haodf.com/hospital/DE4r0Fy0C9LuwYyboWi9s4J1SHSYhq37w.htm,beijing
月坛社区卫生服务中心,https://www.haodf.com/hospital/DE4r0Fy0C9LuwNgNJpO2LTbn52sdVLS0n.htm,beijing
陶然亭社区卫生服务中心,https://www.haodf.com/hospital/DE4r0Fy0C9LuwNgYir3BdG51SHSYhq37w.htm,beijing
西城区德胜社区卫生服务中心,https://www.haodf.com/hospital/DE4r0Fy0C9LuwNZMwnkZJPMV2YMZWydg7.htm,beijing
椿树社区卫生服务中心,https://www.haodf.com/hospital/DE4r0Fy0C9LuwNZMhokymm0hFZqqOoERk.htm,beijing
北京市丰盛中医骨伤专科医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuhnksfJcghOccyq6vJdZnb.htm,beijing
西城区月坛街道复兴门铁路社区卫生服务站,https://www.haodf.com/hospital/DE4r0Fy0C9LuwNGWC2O7XLyrGNzFx56fU.htm,beijing
北京市监狱管理局中心医院  ,https://www.haodf.com/hospital/DE4r0Fy0C9LuwWJUUMhqYHG0pMy6P-9em.htm,beijing
西长安街社区卫生服务中心,https://www.haodf.com/hospital/DE4r0Fy0C9LuwYyboYC86g2mqEELeHuif.htm,beijing
北京市结核病防治所,https://www.haodf.com/hospital/DE4r0Fy0C9LuwNgNKOMj2UtPECdSRGpar.htm,beijing
西城区月坛街道三里河二区社区卫生服务站,https://www.haodf.com/hospital/DE4r0Fy0C9LuwWJaYwEIyshmqEELeHuif.htm,beijing
中国人民公安大学校医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuwmKUXHBiXWk8YSpIkSXQi.htm,beijing
北京市西城区结核病防治所,https://www.haodf.com/hospital/DE4r0Fy0C9LuwmQ7ctTIhOccyq6vJdZnb.htm,beijing
北京协和医院,https://www.haodf.com/hospital/DE4rIxMvCogR-EoxrURJ3U3.htm,beijing
北京同仁医院,https://www.haodf.com/hospital/DE4rIxMvCoglyo3WJbWRFh5.htm,beijing
北京医院,https://www.haodf.com/hospital/DE4rIxMvCogMJI2QVhlQ68-.htm,beijing
东直门医院,https://www.haodf.com/hospital/DE4rIxMvCog0z3FejraUXx9.htm,beijing
北京中医医院,https://www.haodf.com/hospital/DE4roiYGYZwXwIaCFVHDuJVht.htm,beijing
北京301医院第七医学中心,https://www.haodf.com/hospital/DE4roiYGYZw0KEaCFVHDuJVht.htm,beijing
北京口腔医院,https://www.haodf.com/hospital/DE4raCNSz6OYZUWQs9tDws38.htm,beijing
和平里医院,https://www.haodf.com/hospital/DE4raCNSz6OlTnJPvy76rvKc.htm,beijing
北京市第六医院,https://www.haodf.com/hospital/DE4rIxMvCogmLsZic7U7516.htm,beijing
北京天坛普华医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuZlxWQ6vM8h94z9ZEju-cx.htm,beijing
北京市隆福医院,https://www.haodf.com/hospital/DE4rIxMvCogXk5DgnJO1pWz.htm,beijing
北京市普仁医院,https://www.haodf.com/hospital/DE4raCNSz6O0Z20RBSRSxBFl.htm,beijing
中医科学院针灸医院,https://www.haodf.com/hospital/DE4roiYGYZwXKpqNN8Z2K18e0.htm,beijing
八一儿童医院,https://www.haodf.com/hospital/DE4rO-XCoLUmJpIIQgjgKEL-rP.htm,beijing
北京市鼓楼中医医院,https://www.haodf.com/hospital/DE4rIxMvCogYQqB4finaLPH.htm,beijing
东城区第一人民医院,https://www.haodf.com/hospital/DE4r0Fy0C9Luw0jOOlCc17fJKXY-1sBh8.htm,beijing
北京恒和医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuZXCbIQvYeLxa9sDMfNCrT.htm,beijing
北京市东城区妇幼保健院,https://www.haodf.com/hospital/DE4r0Fy0C9LuwMGMJUXnhOs7CIoXi9Fjh.htm,beijing
北京茗视光眼科,https://www.haodf.com/hospital/DE4r0Fy0C9Luw0KOnx7PVHG0pMy6P-9em.htm,beijing
东花市社区卫生服务中心,https://www.haodf.com/hospital/DE4r0Fy0C9LuwliImKp5IlReozGolC54J.htm,beijing
赛德阳光口腔北京银河SOHO门诊部,https://www.haodf.com/hospital/DE4r0Fy0C9LuwYiENGEEhnqa9sDMfNCrT.htm,beijing
崇文口腔医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuwWwmj4vWBCPTs3BGmMGOc.htm,beijing
天坛社区卫生服务中心,https://www.haodf.com/hospital/DE4r0Fy0C9Luwlia0woULVIQH5Fy7BKbP.htm,beijing
北京新齿口腔诊所,https://www.haodf.com/hospital/DE4r0Fy0C9Luhnkc8fYRcPReozGolC54J.htm,beijing
